ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother,ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012,ComID,Committee,cat1,cat2,IEdesignator,ComID,Committee,IE,pctie,ieprodfl,ieprorpm,ieother,candall,canddfl,candrpm,partyall,partydfl,partyrpm
30348,Mah Mah Wi No Min Fund I,Mah Mah Wi No Min,pac,indian,917062.28,906462.3,2602.3,914460,10600,818610,85250,,993750,,,,993750,30348,Mah Mah Wi No Min Fund I,Political Fund,Minneapolis,MN,55401,,11/2/92,,7837.66,12824.96,30348,Mah Mah Wi No Min Fund I,pac,indian,0,30348,Mah Mah Wi No Min Fund I,2602.28,0.283762625,23547.04,,,53450,43200,10250,850410,775410,75000
70007,Coalition of MN Businesses PAC,Coalition MN Businesses,pac,biz,888732.36,866890.8,866890.8,21841.5,21841.5,,,,905061,903500,,,1561,70007,Coalition of MN Businesses PAC,Political Committee,St Paul,MN,55101,,11/15/94 9:36,,9408.19,9182.18,70007,Coalition of MN Businesses PAC,pac,biz,0,70007,Coalition of MN Businesses PAC,866890.84,97.54239623,,1309750.53,,,,,,,
30245,Minn Nurses Assn Pol Comm (MNA-PC),MN Nurses,pac,labor,862543.98,626939.4,287722.6,574821.4,235604.6,277516.8,1700,60000,743710.7,,,,743710.7,30245,Minn Nurses Assn Pol Comm (MNA-PC),Political Fund,St Paul,MN,55102,,1/1/90,,1177,545.25,30245,Minn Nurses Assn Pol Comm (MNA-PC),pac,labor,0,30245,Minn Nurses Assn Pol Comm (MNA-PC),287722.6,33.35744109,299597.77,19271.31,51788,41372.75,40672.75,700,237844,236844,1000
41047,Pro Jobs Majority,Pro Jobs Majority,pac,ie,784939.76,774939.8,774939.8,10000,10000,,,,886816.3,5500,,,881316.3,41047,Pro Jobs Majority,Independent Expenditure,St Paul,MN,55101,,9/23/10 8:48,,,14676.5,41047,Pro Jobs Majority,pac,biz,1,41047,Pro Jobs Majority,774939.76,98.72601689,45400,729539.76,,,,,,,
30025,Minn AFL-CIO,MN AFL-CIO,pac,labor,770729.54,562956.8,265081.8,505647.7,207772.7,277875,,20000,1319325.6,734603.7,300,,584421.8,30025,Minn AFL-CIO,Political Fund,St Paul,MN,55103,,7/24/74,,10153.22,4567.55,30025,Minn AFL-CIO,pac,labor,0,30025,Minn AFL-CIO,265081.8,34.3936214,381236.88,1902.96,11959.05,28650,28650,,249225,249225,
30561,North Central States Carpenters PAC,N Central St Carpenters,pac,labor,680014.93,654285.1,22638.6,657376.4,25729.9,545316.5,85830,500,19261.1,17811.1,,,,30561,North Central States Carpenters PAC,Political Fund,St Paul,MN,55130,,5/3/00,,8435.08,31037.32,30561,North Central States Carpenters PAC,pac,labor,0,30561,North Central States Carpenters PAC,22638.55,3.329125436,37684.07,,,70431.5,55521.5,14910,560715,489795,70920
70004,Minn Business Partnership PAC,MN Bus Partnership,pac,biz,674392.61,349392.6,168192.6,506200,325000,2250,178950,,722245,25000,,10000,687245,70004,Minn Business Partnership PAC,Political Committee,Minneapolis,MN,55402,,7/27/92,,16212.83,34428.95,70004,Minn Business Partnership PAC,pac,biz,0,70004,Minn Business Partnership PAC,168192.61,24.93986552,4755.6,382637.2,,24250,500,23750,156950,1750,155200
30555,Prairie Island Indian Community PAC,Prairie Island Indian,pac,indian,649179,648179,,649179,1000,464679,183500,,560000,,,,560000,30555,Prairie Island Indian Community PAC,Political Fund,Welch,MN,55089,,10/30/96 8:42,,8462.29,2875.29,30555,Prairie Island Indian Community PAC,pac,indian,0,30555,Prairie Island Indian Community PAC,,,,,,40750,26500,14250,607429,438179,169250
30058,International Union of Operating Engineers,Intl Union Op Engineers,pac,labor,615642.78,499125.3,6049.4,609593.3,116517.5,486725.9,5850,500,148780.5,7816.2,250,,140714.3,30058,International Union of Operating Engineers,Political Fund,Minneapolis,MN,55418,,10/4/74,,10961.34,12180.85,30058,International Union of Operating Engineers,pac,labor,0,30058,International Union of Operating Engineers,6049.44,0.982621773,6049.44,,,53675,50725,2950,438900.88,436000.88,2900
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),Faegre Baker Daniels,pac,lawyers,601637.5,573687.5,,601637.5,27950,311187.5,241500,,635907.9,,,,635907.9,30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),Political Fund,Minneapolis,MN,55402-3901,PAC@FaegreBD.com,10/6/80,,6651.82,1300.5,30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),pac,lawyers,0,30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),,,,,,109000,54050,33950,464687.5,257137.5,207550
70001,Minn Chamber of Commerce Leadership Fd,MN Chamber,pac,biz,580723.57,223523.6,110173.6,470550,357200,1450,111900,,859960,47279.2,,,812680.8,70001,Minn Chamber of Commerce Leadership Fd,Political Committee,St Paul,MN,55101,,1/14/83,,3612.32,1363.33,70001,Minn Chamber of Commerce Leadership Fd,pac,biz,0,70001,Minn Chamber of Commerce Leadership Fd,110173.57,18.97177516,15693.39,217377.25,,2000,500,1500,111350,950,110400
40404,IBEW Minn State Council PAC,IBEW,pac,labor,543906.39,280501,4176,539730.4,263405.4,276325,,,542125,,,,542125,40404,IBEW Minn State Council PAC,Political Committee,St Anthony Village,MN,55421-4352,,6/16/80,,2784.58,3161.48,40404,IBEW Minn State Council PAC,pac,labor,0,40404,IBEW Minn State Council PAC,4176,0.767779176,4176,,,43775,43775,,232550,232550,
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,Lockridge Grindal Nauen,pac,lawyers,502285.58,498285.6,,502285.6,4000,302640.9,167584.3,28060.3,553870,,,250,553620,30230,Lockridge Grindal Nauen PLLP State Pol Fnd,Political Fund,Minneapolis,MN,55401,,1/1/90,,857.89,2086.97,30230,Lockridge Grindal Nauen PLLP State Pol Fnd,pac,lawyers,0,30230,Lockridge Grindal Nauen PLLP State Pol Fnd,,,,,,38911.84,25272.46,13639.38,431313.41,277368.45,153944.96
30119,IBEW Local 292 Political Education Fund,IBEW Local 292,pac,labor,477259.87,414159.9,1785.6,475474.3,63100,401874.3,500,10000,466208.4,,,,466208.4,30119,IBEW Local 292 Political Education Fund,Political Fund,Minneapolis,MN,55414,,7/16/74,,937.61,20325.33,30119,IBEW Local 292 Political Education Fund,pac,labor,0,30119,IBEW Local 292 Political Education Fund,1785.59,0.374133698,2533.92,47.86,,50300,49800,500,352074.28,352074.28,
80026,Minn Assoc of Professional Employees Political Fund,MAPE2,pac,labor,434944.88,216984.9,33984.9,400960,217960,143000,,40000,294066.5,,,,294066.5,80026,Minn Assoc of Professional Employees Political Fund,Political Fund,Shoreview,MN,55126,,3/24/10 16:00,,,26013.66,80026,Minn Assoc of Professional Employees Political Fund,pac,labor,0,80026,Minn Assoc of Professional Employees Political Fund,33984.88,7.813606175,33984.88,,,500,500,,142500,142500,
30270,MAPE-PAC,MAPE1,pac,labor,415352.7,361585,3585,411767.7,53767.7,357750,250,,119398,1500,,,117898,30270,MAPE-PAC,Political Committee,Shoreview,MN,55126,,12/30/85,,8773.68,40082.86,30270,MAPE-PAC,pac,labor,0,30270,MAPE-PAC,3584.96,0.863112242,3584.96,,,52650,52400,250,305350,305350,
30093,SEIU Healthcare Minn (fka SEIU Local 113),SEIU Healthcare,pac,labor,394938.23,96961.4,15008.3,379929.9,297976.9,69293,,12660.1,302759.2,11795.3,350,,290613.9,30093,SEIU Healthcare Minn (fka SEIU Local 113),Political Fund,St Paul,MN,55102,,1/1/90,,8950.56,3712.16,30093,SEIU Healthcare Minn (fka SEIU Local 113),pac,labor,0,30093,SEIU Healthcare Minn (fka SEIU Local 113),15008.29,3.800161357,15008.29,,,4400,4400,,64892.97,64892.97,
30225,TRIAL-PAC,TRIAL PAC,pac,lawyers,390513.17,358913.2,1251.3,389261.9,31600,307036.9,49375,750,410213.6,38000,2400,,369813.6,30225,TRIAL-PAC,Political Fund,Minneapolis,MN,55402,,10/25/79,,3065.26,10597.59,30225,TRIAL-PAC,pac,lawyers,0,30225,TRIAL-PAC,1251.3,0.320424533,1251.3,,,33769.8,30769.8,2500,323142.07,276267.07,46875
30636,TakeAction Political Fund,TakeAction,pac,ie,389811.98,389812,38439.3,351372.7,,,,351372.7,836663.2,9500,,,826513.2,30636,TakeAction Political Fund,Independent Expenditure,St Paul,MN,55114,,10/14/10 16:10,,,73.41,30636,TakeAction Political Fund,pac,prodfl,1,30636,TakeAction Political Fund,38439.25,9.860971949,38439.25,,,,,,,,
70006,Minn Realtors Political Action Committee,MN Realtors,pac,biz,380495.43,379995.4,13945.4,366550,500,181050,185000,,325044.3,,,,325044.3,70006,Minn Realtors Political Action Committee,Political Committee,Edina,MN,55436,www.mnrealtor.com,10/8/74,,253503.69,285252.74,70006,Minn Realtors Political Action Committee,pac,biz,0,70006,Minn Realtors Political Action Committee,13945.43,3.665071615,25023.42,185152.57,15721.74,37350,14750,22600,328700,166300,162400
40940,MOHPA PAC,MOHPA,pac,biz,349069.76,348819.8,5669.8,343400,250,132700,210450,,341825,2000,,,339825,40940,MOHPA PAC,Political Committee,St Paul,MN,55114,,7/28/05,,20530.23,3132.34,40940,MOHPA PAC,pac,biz,0,40940,MOHPA PAC,5669.76,1.624248402,2343.69,3326.07,,68650,21950,46700,274500,110750,163750
30011,Minneapolis Regional Labor Federation,Mpls Reg Labor,pac,labor,343185.3,328685.3,32013.3,311172,14500,285622,800,10250,590589.4,126956,8572,,455061.4,30011,Minneapolis Regional Labor Federation,Political Fund,Minneapolis,MN,55414,,7/3/74,,7995.88,22779.52,30011,Minneapolis Regional Labor Federation,pac,labor,0,30011,Minneapolis Regional Labor Federation,32013.3,9.328284166,69927,6724.2,,13100,12600,500,273322,273022,300
30654,Public Safety Matters Campaign,Pub Safety Matters,pac,ie,277239.21,277239.2,277239.2,,,,,,307150,92500,,,214650,30654,Public Safety Matters Campaign,Independent Expenditure,St Paul,MN,55130,,10/1/12 11:03,,,1231.22,30654,Public Safety Matters Campaign,pac,labor,1,30654,Public Safety Matters Campaign,277239.21,100,277239.21,,,,,,,,
30623,Working America Minn Political Committee,Working America MN,pac,ie,272370.42,272370.4,272370.4,,,,,,487875.4,304207.2,,,183668.2,30623,Working America Minn Political Committee,Independent Expenditure,Washington,DC,20006,workingamerica.org,9/2/09 16:18,,,-500,30623,Working America Minn Political Committee,pac,labor,1,30623,Working America Minn Political Committee,272370.42,100,246906.42,,25464,,,,,,
40038,"CAR, Committee of Automotive Retailers",CAR,pac,biz,266105.29,235750,,266105.3,30355.3,126400,108350,,272906,,,,272906,40038,"CAR, Committee of Automotive Retailers",Political Committee,St Paul,MN,55118-3505,,7/5/74,,15932,24164.9,40038,"CAR, Committee of Automotive Retailers",pac,biz,0,40038,"CAR, Committee of Automotive Retailers",,,,460.35,,40250,14650,24600,195500,111750,83750
30124,Multi Housing Political Action Committee,Multi Housing,pac,biz,264850,263450,,264850,1400,130025,133425,,304276.3,10000,,,294276.3,30124,Multi Housing Political Action Committee,Political Fund,Bloomington,MN,55431,,9/13/76,,45777.2,56790.92,30124,Multi Housing Political Action Committee,pac,biz,0,30124,Multi Housing Political Action Committee,,,,,,48350,23325,25025,215100,106700,108400
30060,Minn State Council of UNITE HERE Unions,UNITE HERE,pac,labor,256553.59,215850,,256553.6,40703.6,212850,,3000,188900,37500,,,151400,30060,Minn State Council of UNITE HERE Unions,Political Fund,Minneapolis,MN,55414,,10/8/74,,4254.55,254.55,30060,Minn State Council of UNITE HERE Unions,pac,labor,0,30060,Minn State Council of UNITE HERE Unions,,,,,,15100,15100,,197750,197750,
40714,Minn Hospital PAC,MN Hospital,pac,biz,225832.58,221932.6,12932.6,212900,3900,121900,87100,,212533,15825,,,196708,40714,Minn Hospital PAC,Political Committee,Minneapolis,MN,55414,,7/15/94,,19700.89,12676.46,40714,Minn Hospital PAC,pac,biz,0,40714,Minn Hospital PAC,12932.58,5.726622793,2932.58,8042.35,10000,37150,23000,14150,171850,98900,72950
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),Mpls Firefighters,pac,labor,221862.21,215862.2,3607.2,218255,6000,140705,71550,,21250,,,,21250,30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),Political Fund,Fridley,MN,55432,,8/19/74,,5437.65,576.13,30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),pac,labor,0,30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),3607.21,1.625878513,160.5,3607.21,,57700,38150,19550,154555,102555,52000
30116,Dorsey Political Fund,Dorsey,pac,lawyers,218203.65,204385.7,,218203.7,13818,104825,85952.8,,233821,,,,233821,30116,Dorsey Political Fund,Political Fund,Minneapolis,MN,55402-1498,,10/23/74,,5138.64,6278.51,30116,Dorsey Political Fund,pac,lawyers,0,30116,Dorsey Political Fund,,,,,,75357.89,39775,21975,129027.76,65050,63977.76
30013,Joint Council 32 DRIVE,Joint Council 32 DRIVE,pac,labor,216610,156910,,216610,59700,155610,1100,,1458592.7,447031.5,,,1011561.2,30013,Joint Council 32 DRIVE,Political Fund,Minneapolis,MN,55414,,7/7/74,,37259.19,51506.3,30013,Joint Council 32 DRIVE,pac,labor,0,30013,Joint Council 32 DRIVE,,,,,,34600,33300,1100,122310,122310,
30258,RKM&C Fund,RKM&C Fund,pac,lawyers,216342.43,181842.4,,216342.4,34500,125175,6500,10917.4,221409.5,,2461.1,,218948.4,30258,RKM&C Fund,Political Fund,Minneapolis,MN,55402-2015,,3/3/78,,4088.2,11936.02,30258,RKM&C Fund,pac,lawyers,0,30258,RKM&C Fund,,,,,,52650,11900,1500,118275,113275,5000
30594,Boilermakers 647 Political Action Fund,Boilermakers 647,pac,labor,212587.5,201587.5,,212587.5,11000,200837.5,,750,53535,,,,53535,30594,Boilermakers 647 Political Action Fund,Political Fund,Ramsey,MN,55303,,5/17/05,,47602,28625.12,30594,Boilermakers 647 Political Action Fund,pac,labor,0,30594,Boilermakers 647 Political Action Fund,,,,,,41837.5,41837.5,,159000,159000,
41049,State Fund for Economic Growth LLC,State Fund Econ Growth,pac,ie,200000,0,,200000,200000,,,,250050,,,,250050,41049,State Fund for Economic Growth LLC,Independent Expenditure,Wayzata,MN,55391,,8/16/10,,,50,41049,State Fund for Economic Growth LLC,pac,biz,1,41049,State Fund for Economic Growth LLC,,,,,,,,,,,
30316,IBEW 110 PAC,IBEW 110 PAC,pac,labor,197183.72,113625.7,,197183.7,83558,111475.7,800,1350,,,,,,30316,IBEW 110 PAC,Political Fund,St Paul,MN,55106,,2/25/90,,15428.53,18042.68,30316,IBEW 110 PAC,pac,labor,0,30316,IBEW 110 PAC,,,1355,,,19650,18850,800,92625.72,92625.72,
30629,Impact Minnesota Political Fund,Impact MN,pac,ie,192535.97,192536,192536,,,,,,190951.8,29500,,,161451.8,30629,Impact Minnesota Political Fund,Independent Expenditure,St Paul,MN,55114,,8/26/10 12:09,9/25/12,,0,30629,Impact Minnesota Political Fund,pac,prodfl,1,30629,Impact Minnesota Political Fund,192535.97,100,192535.97,,,,,,,,
80023,Teamsters Local 120 DRIVE,Teamsters Local 120,pac,labor,192146,185396,,192146,6750,178596,4300,,328797.1,328797.1,,,,80023,Teamsters Local 120 DRIVE,Political Fund,Blaine,MN,55434,,12/4/06,,0,5618.7,80023,Teamsters Local 120 DRIVE,pac,labor,0,80023,Teamsters Local 120 DRIVE,,,,,,32400,25600,4300,152996,152996,
70005,Minn CPAs Public Affairs Committee,MN CPAs,pac,biz,187150,187150,,187150,,91400,95750,,284406.4,17177.8,,,267228.6,70005,Minn CPAs Public Affairs Committee,Political Committee,Bloomington,MN,55431,,1/1/90,,42870.29,149392.45,70005,Minn CPAs Public Affairs Committee,pac,biz,0,70005,Minn CPAs Public Affairs Committee,,,,,,22650,10400,12250,164500,81000,83500
30007,Minneapolis Municipal Retirement Assoc,Mpls Mun Retirement,pac,,187000,185500,,187000,1500,121500,64000,,,,,,,30007,Minneapolis Municipal Retirement Assoc,Political Fund,Minneapolis,MN,55414-1053,,11/30/78,,92.6,999.01,30007,Minneapolis Municipal Retirement Assoc,pac,labor,0,30007,Minneapolis Municipal Retirement Assoc,,,,,,33450,23250,10200,152050,98250,53800
80008,Conservation Minnesota Voter Fund,Conservation MN,pac,,179496.9,179496.9,138850.8,40646.1,,30310,3950,6386.1,444217,,,,444217,80008,Conservation Minnesota Voter Fund,Political Fund,Minneapolis,MN,55415,,8/24/00,,9609.22,5776.76,80008,Conservation Minnesota Voter Fund,pac,issue,0,80008,Conservation Minnesota Voter Fund,138850.79,77.3555365,236486.08,63801.34,5813.54,9860,8760,1100,24400,21550,2850
30022,Local 59 Political Fund,Local 59,pac,labor,178630,161700,,178630,16930,159600,1600,500,213374.2,,,,213374.2,30022,Local 59 Political Fund,Political Fund,Minneapolis,MN,55413,,1/1/90,,9263.55,61674.47,30022,Local 59 Political Fund,pac,labor,0,30022,Local 59 Political Fund,,,,,,42900,42400,500,118300,117200,1100
40847,Emilys List - Minn,Emilys List MN,pac,,175788.42,167288.4,,175788.4,8500,167288.4,,,95025.1,,,,95025.1,40847,Emilys List - Minn,Political Committee,Washington,DC,20036,www.emilyslist.org,10/27/00,,961.14,,40847,Emilys List - Minn,pac,issue,0,40847,Emilys List - Minn,,,75521.57,,,9320,9320,,157968.42,157968.42,
30018,Minn Dental Political Action Committee,MN Dental,pac,,166400.5,162900.5,,166400.5,3500,78475.5,84425,,9198,,,,9198,30018,Minn Dental Political Action Committee,Political Fund,Minneapolis,MN,55408-1802,,7/7/74,,47466.19,19453.12,30018,Minn Dental Political Action Committee,pac,biz,0,30018,Minn Dental Political Action Committee,,,,,,75380.5,38405.5,36975,87520,40070,47450
30274,Beer PAC-Minn Beer Wholesalers Assoc,Beer PAC,pac,,166080,165580,,166080,500,85450,80130,,177941.2,,,,177941.2,30274,Beer PAC-Minn Beer Wholesalers Assoc,Political Fund,Eden Prairie,MN,55347,,4/15/86,,3604.54,9429.31,30274,Beer PAC-Minn Beer Wholesalers Assoc,pac,biz,0,30274,Beer PAC-Minn Beer Wholesalers Assoc,,,,,,13530,7500,6030,152050,77950,74100
30608,MN State Bldg & Construction Trades Cncl Pol Fund,MN State Bld & Constr,pac,labor,162194.44,153194.4,20538.5,141656,9000,130356,2300,,208242.9,22922.4,,,185320.4,30608,MN State Bldg & Construction Trades Cncl Pol Fund,Political Fund,St Paul,MN,55102,,7/24/06,,100,2795.67,30608,MN State Bldg & Construction Trades Cncl Pol Fund,pac,labor,0,30608,MN State Bldg & Construction Trades Cncl Pol Fund,20538.45,12.662857,20538.45,,,13037.99,12487.99,550,119618,117868,1750
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",Planned Parenthood,pac,ie,159797.43,154797.4,154797.4,5000,5000,,,,167925.4,,,,167925.4,30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",Independent Expenditure,St Paul,MN,55114,plannedparenthoodadvocate.com,8/5/10 8:24,,,0,30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",pac,issue,1,30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",154797.43,96.87103854,154775.43,0,22,,,,,,
30308,IFO Political Action Committee Fund (Inter Faculty Organization),Inter Faculty Org,pac,,153160.72,150460.7,1270.7,151890,2700,135740,13450,,163513.7,,,,163513.7,30308,IFO Political Action Committee Fund (Inter Faculty Organization),Political Fund,St Paul,MN,55103,,9/26/89,,1265.93,877.03,30308,IFO Political Action Committee Fund (Inter Faculty Organization),pac,labor,0,30308,IFO Political Action Committee Fund (Inter Faculty Organization),1270.72,0.82966442,1627.42,15.58,,65000,55550,9450,84190,80190,4000
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),MN Truck,pac,biz,151300.88,121050.9,24725.9,126575,30250,35900,60425,,174228,,,,174228,40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),Political Committee,Roseville,MN,55113,,7/15/96,,1391.24,236.51,40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),pac,biz,0,40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),24725.88,16.3421918,7393.68,17332.2,,41350,13650,27700,54975,22250,32725
30611,IUPAT Political Action Together Pol Committee,IUPAT,pac,labor,146201,118950,,146201,27251,118950,,,1092679.8,,,,1092679.8,30611,IUPAT Political Action Together Pol Committee,Political Fund,Hanover,MD,21076,,7/25/06,,1205122.55,983110.06,30611,IUPAT Political Action Together Pol Committee,pac,labor,0,30611,IUPAT Political Action Together Pol Committee,,,,,,11800,11800,,107150,107150,
40933,Putting Minnesota First,Putting MN First,pac,ie,140850.48,140850.5,140850.5,,,,,,183989,130036.4,2952.6,,51000,40933,Putting Minnesota First,Independent Expenditure,St Paul,MN,55114,,9/27/04,,3623,10164,40933,Putting Minnesota First,pac,prodfl,1,40933,Putting Minnesota First,140850.48,100,195405.51,25191.3,,,,,,,
40751,Minn Bank State PAC,MN Bank,pac,biz,136300,105300,,136300,31000,32350,72950,,110220,,,,110220,40751,Minn Bank State PAC,Political Committee,St Paul,MN,55103,,5/28/96 10:20,,8099.93,7419.26,40751,Minn Bank State PAC,pac,biz,0,40751,Minn Bank State PAC,,,,,,20450,6300,14150,84850,26050,58800
