ComID,Committee,stype,CommCity,CommState,CommZip,CommWeb,RegistrationDate,TerminationDate,begincash2007,endcash2012
30548,Carpenters Union Local #87 PAF,Political Fund,St Paul,MN,55102,,9/19/94 18:57,11/16/11,3966.37,
40247,Central Minn AFL-CIO Trades & Labor Assembly,Political Committee,St Cloud,MN,56301,,7/14/76,,1767.09,341.53
30581,CHG PAC,Political Fund,Maple Grove,MN,55311,,5/28/03,10/12/10,385.01,
41079,Choice in Minnesota Health Care,Independent Expenditure,Golden Valley,MN,55422,,7/11/12 8:09,,,1332.33
40822,Choice Voter,Political Committee,St Paul,MN,55102,,8/11/99,6/29/09,107.5,
40787,Citizens for Effective Government,Political Committee,St Paul,MN,55102,,6/9/98,6/11/12,956.3,0
40976,Citizens for Honest Government,Political Committee,Minneapolis,MN,55417,,10/30/06,7/6/10,822,
30646,Citizens for Smith,Independent Expenditure,Chanhassen,MN,55317,,6/26/12 11:00,9/25/12,,0
40895,Citizens for the Sensible Center,Political Committee,Rochester,MN,55902,,9/20/02,12/31/10,829.42,
41094,Clean Energy PAC of Iberdrola Renewables LLC,Political Committee,Portland,OR,97209,,10/17/12 14:06,,,15514.04
30627,Clean Water Action Independent Fund,Independent Expenditure,Minneapolis,MN,55414,,8/4/10 14:14,,,0
80018,Clean Water Action Voter Education Project,Political Fund,Minneapolis,MN,55414,,10/30/84,,14249.64,380.12
30647,CMVC Fund (Conservation MN Voter Center),Independent Expenditure,Minneapolis,MN,55415,www.mnvotercenter.org,7/20/12 16:27,,,3541.31
40898,Coalition for Democratic Values,Political Committee,Grand Marais,MN,55604,,10/17/02,7/20/12,2662.54,0
70007,Coalition of MN Businesses PAC,Political Committee,St Paul,MN,55101,,11/15/94 9:36,,9408.19,9182.18
80013,COLL PAC,Political Fund,Eagan,MN,55121,,8/24/02,,3549.45,6246.2
40045,Committee of Thirteen Legislative Fund,Political Committee,Oakdale,MN,55128,committeeof13.org,10/21/74,,5827,6265
41045,Committee to Stop Wasteful Spending,Independent Expenditure,St Paul,MN,55101,,8/25/10 11:29,12/31/11,,
40274,Communication Workers of America Local 7200,Political Fund,Minneapolis,MN,55406,www.cwa7200.org,10/1/74,,2680.99,90.9
80008,Conservation Minnesota Voter Fund,Political Fund,Minneapolis,MN,55415,,8/24/00,,9609.22,5776.76
40855,Constitution Party of Minn,Political Committee,Redwood Falls,MN,56283,cpmn.org,1/7/99,,2461.9,1276.79
40269,Co-op PAC (fka MAC-PAC),Political Committee,St Paul,MN,55102,www.cooperativenetwork.coop,10/28/81,,8170.96,15656.52
30312,Council 65 Political Action Committee,Political Fund,Nashwauk,MN,55769,,4/13/90,,5356.58,54.57
41083,Count Them All Properly,Political Committee,St Paul,MN,55102,,2/8/11 9:27,9/19/12,,0
30224,CUVOL,Political Fund,St Paul,MN,55102,,2/28/75,,1552.69,15512.94
80021,CWA COPE PCC,Political Fund,Washington,DC,20001,,8/22/06,,29400.47,315208.98
30576,CWA Local 7250 Political Fund,Political Fund,Minneapolis,MN,55406-2699,,8/22/02,12/31/08,590.7,
30575,CWA Minnesota State Council,Political Fund,Farmington,MN,55024,,7/10/02,,2061.95,626.09
30580,D B I - E - PAG,Political Fund,Prinsburg,MN,56281-0208,,4/2/03,7/24/07,830.3,
40491,D&T Better Government Committee,Political Committee,Minneapolis,MN,55402-1538,,10/30/87,8/8/12,2937.12,0
70031,Dakota Cnty Regional Chamber Leadership Fund,Political Committee,Eagan,MN,55123,,5/4/04,10/17/12,1173.06,0
70039,Democrats for Life of Minnesota,Political Committee,St Paul,MN,55165-0523,,12/21/05,6/15/12,1555.76,10
30168,DFL Feminist Caucus - Candidates Fund,Political Fund,Eden Prairie,MN,55346,,7/5/74,,767.71,1005.46
40993,DFL Senior Caucus,Political Committee,St Paul,MN,55107,http://dflseniors.wordpress.com,12/28/07,,0,2617.16
30640,Dominium Political Fund,Political Fund,Plymouth,MN,55441,,4/5/11 14:24,,,6270
30116,Dorsey Political Fund,Political Fund,Minneapolis,MN,55402-1498,,10/23/74,,5138.64,6278.51
41096,Draft Hann for Governor,Independent Expenditure,St Charles,MN,55972,drafthann4governor.com,12/13/12 16:27,7/22/13,,165.25
41018,Draft R T Rybak For Governor,Political Committee,Roseville,MN,55113,,7/16/09 8:41,11/12/09,,
40815,DRIVE- Democrat Republican Ind. Voter Edu.,Political Committee,Washington,DC,20001,,11/13/98,,64125.41,0
41059,Driving MN,Independent Expenditure,West St Paul,MN,55118,,6/30/11 14:32,,,29954.43
30217,Dul Bldg Trades Vol Party Fund,Political Fund,Duluth,MN,55812,,2/1/83,,4282.49,1379.88
40915,Duluth Active & Retired Teachers Group,Political Committee,Duluth,MN,55811,,1/22/04,,8802.41,0
30273,Duluth Central Labor Body COPE Fund,Political Fund,Duluth,MN,55812,,2/21/86,12/31/09,12645.98,
30086,Duluth Federation of Teachers Political Fund,Political Fund,Duluth,MN,55811,,9/19/74,12/31/11,11959.83,
30096,Duluth FirePAC,Political Fund,Duluth,MN,55803,www.duluthfirepac.com,9/12/77,,25338.93,39737
40171,Duluth Women's Republican Club,Political Committee,Duluth,MN,55803,,9/3/74,6/18/07,399.66,
30626,East Central MN Area Labor Council COPE,Political Fund,St Cloud,MN,56301,,4/23/10 9:31,,,553.65
41003,East Central Taxpayers,Political Committee,Pine City,MN,55063,,8/1/08,,,53
30609,East Metro ASC LLC PAC (fka Minn Ambulatory Surgery Center Assoc),Political Fund,Lake Elmo,MN,55042,,8/9/06,,1822.18,4430.47
41029,Ecology Democracy Party,Political Committee,Minneapolis,MN,55403,www.ecologydemocracyparty.org,5/12/10 9:29,,,170.66
70019,Ed Action,Political Committee,Chaska,MN,55318,,9/7/99,12/31/10,714.78,
41074,Edina Democrats,Political Committee,Edina,MN,55435,,1/13/12 12:38,,,1000.54
41005,Edinans for Erhardt,Political Committee,Edina,MN,55424,,9/15/08,12/31/09,,
30136,Education Minn - Osseo PAC,Political Fund,Maple Grove,MN,55369,,6/26/78,,2962.8,3025.62
30558,Education Minn PAC,Political Fund,St Paul,MN,55103,,9/15/98,,1200,154763.88
40523,Electricians Local 242 IBEW PAC,Political Committee,Duluth,MN,55812,,8/26/88,,875.28,3262.47
30103,Elementary Principals Action Committee,Political Fund,St Paul,MN,55108,,10/16/75,,3206.37,10883.61
40847,Emilys List - Minn,Political Committee,Washington,DC,20036,www.emilyslist.org,10/27/00,,961.14,
30613,Ewald Political Fund,Political Fund,St Paul,MN,55114,,9/19/06,,100,0
40985,Excelsior Energy Inc PAC,Political Committee,Eagan,MN,55123,,7/20/07,4/12/11,0,
41037,Expose The Truth.com,Political Committee,Woodbury,MN,55125,exposethetruch.info,7/12/10 14:44,,,1497.74
30163,Faegre Baker Daniels State-Reg Pol Fund (fka Faegre & Benson LLP),Political Fund,Minneapolis,MN,55402-3901,PAC@FaegreBD.com,10/6/80,,6651.82,1300.5
41028,Faithful Citizens Political Fund,Political Committee,Minneapolis,MN,55405,,4/29/10 8:35,,,282.8
40991,FEAPAC - MINN,Political Committee,Shorewood,MN,55331,,12/7/07,,0,21234.34
30619,Federal Express Minn State Fund,Political Fund,Memphis,TN,38120,,9/8/08,,,
30016,Firefighters Assoc of Mpls Political Fund,Political Fund,Minneapolis,MN,55418,,7/7/74,,5541.44,54034.75
30315,Fond du Lac Committee of Political Ed,Political Fund,Cloquet,MN,55720,,9/21/88,,5950,7312.66
40019,Food PAC of Minn,Political Committee,St Paul,MN,55102,,9/24/74,,19171.51,47765.51
40742,Freedom Club State PAC,Political Committee,Champlin,MN,55316,,11/2/95 11:36,,1564.29,2028.21
40943,Friends for Responsible Government,Political Committee,St Michael,MN,55376,,9/22/05,10/13/11,318.05,
40295,Friends of DFL Women,Political Committee,St Paul,MN,55104,,9/24/82,,1852.18,6345.04
40935,Friends of Minn Nurse Anesthetists,Political Committee,Minneapolis,MN,55416,www.mnana.org,12/29/04,,4367.69,14756.52
30639,Friends of MN School Bus Operators Assn,Political Fund,Annandale,MN,55302,,3/8/11 9:52,,,9818.64
40809,Friends of the Minn Zoo,Political Committee,St Paul,MN,55103,,10/21/98,,674.01,206.85
40792,Fryberger Buchanan Smith & Frederick PAC,Political Committee,St Paul,MN,55105,,7/21/98,,15.57,315.57
40962,Gay and Lesbian Victory Fund,Political Committee,Washington,DC,20005,www.victoryfund.org,8/21/06,,635,1246
30587,Goff Public PAC,Political Fund,St Paul,MN,55101,,8/16/04,,1583.18,1884.01
40066,GOP FC PAC,Political Committee,St Paul,MN,55102-3690,,7/9/74,,46782.55,41778.47
40970,Grand Portage PAC,Political Committee,Grand Portage,MN,55605,www.grandportage.com,10/12/06,,7205.35,22760.35
40903,Grand Rapids Area Chamber of Commerce PAC,Political Committee,Grand Rapids,MN,55744,,2/10/03,,0,80.42
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,Political Committee,Minneapolis,MN,55402,,10/19/94 9:28,,53.3,14117.37
40825,GREAT (Great River Energy Action Team-State),Political Committee,Wayzata,MN,55391,,12/30/99,,7252.56,29443.06
30634,Greater Minnesota Votes,Independent Expenditure,Minneapolis,MN,55408,,10/1/10 10:00,12/31/11,,
40417,Hammel Green & Abrahamson Inc PAC,Political Committee,Minneapolis,MN,55401-2338,,11/20/85,,4050.26,5120.51
30337,Health Partners Civic Affairs Council,Political Fund,St Paul,MN,55105,,12/5/90,,1613.4,1478.76
41020,Hennepin County Deputies PAC (fka Hennepin Cnty Law Enfcmt PAC),Political Fund,Minneapolis,MN,55412-1549,hcsda.com,10/26/09 14:32,,,2306.8
40840,Hennepin Cty Probation & Parole Officers Union,Political Committee,Minneapolis,MN,55415,,9/5/00,10/12/10,600,
30218,Hospitality Political Action Committee,Political Fund,St Paul,MN,55117-2031,,7/3/74,,24778.29,4257.49
30635,Housing First,Independent Expenditure,Roseville,MN,55113,www.batconline.org,10/8/10 8:59,,,12070.39
30631,HRC Equality Votes Minnesota,Independent Expenditure,Washington,DC,20036,www.hrc.org,9/10/10 14:56,12/31/10,,
70041,HRC Minnesota PAC,Political Committee,Washington,DC,20036,,8/10/06,10/22/12,10589.29,
41042,Hunting and Angling Club,Political Committee,Becker,MN,55308,,8/4/10 14:23,,,884.15
30209,IAFF-Local #1935 PAC,Political Fund,Coon Rapids,MN,55433-3402,,10/25/82,,3164.11,2763.61
30655,IATSE Local #13 PAC Fund,Political Fund,Minneapolis,MN,55414,,10/12/12 10:36,,,1780.29
30331,IBEW - COPE,Political Fund,Washington,DC,20001,,10/29/90,,649034.04,2082993.64
30316,IBEW 110 PAC,Political Fund,St Paul,MN,55106,,2/25/90,,15428.53,18042.68
40094,IBEW Local #31 Volunteer COPE Fund,Political Committee,Duluth,MN,55812,,9/28/76,,11798.06,1425.43
30119,IBEW Local 292 Political Education Fund,Political Fund,Minneapolis,MN,55414,,7/16/74,,937.61,20325.33
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),Political Fund,Rochester,MN,55904-8435,,4/17/84,,921,1439.64
40404,IBEW Minn State Council PAC,Political Committee,St Anthony Village,MN,55421-4352,,6/16/80,,2784.58,3161.48
40056,IFAPAC Minn,Political Committee,Minneapolis,MN,55422,,7/23/74,,14688,4856.52
30308,IFO Political Action Committee Fund (Inter Faculty Organization),Political Fund,St Paul,MN,55103,,9/26/89,,1265.93,877.03
30629,Impact Minnesota Political Fund,Independent Expenditure,St Paul,MN,55114,,8/26/10 12:09,9/25/12,,0
40248,Independent Community Bankers of Minn PAC,Political Committee,St Paul,MN,55108,,9/10/75,,17567.16,46289.11
41015,Independent Republican Party of Minn,Political Committee,St Paul,MN,55104,,5/15/09 15:40,7/13/10,,
70014,Insurance Federation Political Action Comm,Political Committee,Maple Grove,MN,55369-5611,,2/29/80,,614.56,2212.08
30058,International Union of Operating Engineers,Political Fund,Minneapolis,MN,55418,,10/4/74,,10961.34,12180.85
30350,Iron Range Bldg Trades-PAF,Political Fund,Virginia,MN,55792,,1/15/93,,155.99,2062.71
30194,Iron Range Labor Assembly Legislative Fund,Political Fund,Mount Iron,MN,55768,,11/4/77,12/31/09,4707.37,
30092,Iron Workers Local 512,Political Fund,St Paul,MN,55104-1634,,11/25/74,,17443.49,329.49
80030,IUPAT District Council 82 PAC,Political Fund,Little Canada,MN,55117,,6/15/12 11:35,,,7350.53
30611,IUPAT Political Action Together Pol Committee,Political Fund,Hanover,MD,21076,,7/25/06,,1205122.55,983110.06
41046,Jacobson Buffalo PAC,Political Committee,St Paul,MN,55114,,9/17/10 8:54,,,290.84
30013,Joint Council 32 DRIVE,Political Fund,Minneapolis,MN,55414,,7/7/74,,37259.19,51506.3
41030,Justice in Minnesota,Political Committee,Apple Valley,MN,55124,,5/28/10 11:23,12/31/10,,
40896,Kandiyohi Co Business Leadership Fund,Political Committee,Willmar,MN,56201,,9/20/02,7/16/12,3017.57,0
40712,Laborers District Council of Minn & ND Pol Fund,Political Fund,St Paul,MN,55117,,6/28/94,,3170.14,22757.14
30624,Larkin Hoffman Political Fund,Political Fund,Bloomington,MN,55431,,12/10/09 10:49,,,4876.85
30228,Lawyers Public Affairs Commission (LawPAC),Political Fund,Minneapolis,MN,55402,www.mnlawpac.com,3/9/81,,1800.17,2728.69
40996,Leaders Aligned for Health Care,Political Committee,St Louis Park,MN,55426,,4/18/08,5/15/12,,5
41008,League of Young Voters PAC,Political Committee,Brooklyn,NY,11201,www.theleague.com,6/2/08 13:35,12/16/11,,
40889,Leech Lake PAC,Political Committee,Cass Lake,MN,56633,,8/29/02,,1912.15,2185.65
40909,Legacy Project for Political Empowerment,Political Committee,Minneapolis,MN,55408,,8/26/03,10/28/08,3375.56,
30242,Leonard Street and Deinard PAC,Political Fund,Minneapolis,MN,55402,,2/11/90,,2014.09,5153.21
40105,Lindquist & Vennum Political Fund,Political Committee,Minneapolis,MN,55402,,6/4/79,,9988.21,18414.54
41010,LISA PAC Minn,Political Committee,Orlando,FL,32803,,10/31/08 15:32,6/22/10,,
40401,Local 1833 Political Fund IAMAW,Political Committee,New Port,MN,55055-0069,,1/21/76,9/24/12,2396.52,0
30064,Local 28 Political Fund,Political Fund,St Paul,MN,55102,,10/15/74,,12144.47,7884.89
30620,Local 548 PAC,Political Fund,St Paul,MN,55130,,9/19/08,,,779.43
30022,Local 59 Political Fund,Political Fund,Minneapolis,MN,55413,,1/1/90,,9263.55,61674.47
30652,Local 68 Political Action Fund,Political Fund,St Paul,MN,55130,,9/19/12 13:55,,,825
40820,Local 851 Political Action Committee,Political Fund,Anoka,MN,55303,,6/14/99,11/16/11,3995.6,
40837,Local Action Political Action Committee,Political Committee,West St Paul,MN,55118,,8/17/00,,270.93,436.25
30024,Local S-6 IAFF Political Fund,Political Fund,St Paul,MN,55111,,7/25/74,,1075.05,658.05
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,Political Fund,Minneapolis,MN,55401,,1/1/90,,857.89,2086.97
40930,Log Cabin Republicans of Minnesota,Political Committee,Minneapolis,MN,55401,mnlogcabin.org,7/27/04,,117.37,728.5
40882,Lommen Nelson Political Action Committee,Political Committee,Minneapolis,MN,55402,,8/12/02,,0,51
30327,Lower Sioux Political Education Fund,Political Fund,Morton,MN,56270,,8/31/90,,801.36,800.12
70010,MABC PAC,Political Committee,Eden Prairie,MN,55344,,11/21/86,,235.4,405.89
40978,MADC Political Fund (fka MN Assn of Deaf Citizens Inc),Political Fund,St Paul,MN,55116,,1/29/07,12/31/10,0,
30293,MAFMIC Political Action Committee,Political Fund,St Joseph,MN,56374,,7/22/88,,4325.81,5009.39
30348,Mah Mah Wi No Min Fund I,Political Fund,Minneapolis,MN,55401,,11/2/92,,7837.66,12824.96
40713,MAIDA (Minn Asian-Indian Democratic Assoc),Political Committee,West St Paul,MN,55118,,7/15/94,,1087.4,1675.4
80015,MAMBI PAC,Political Fund,Edina,MN,55424,www.themma.org,7/8/04,,6573.32,1217.44
30260,Management Concerned for Public Education,Political Fund,St Paul,MN,55108,,12/4/78,,3694.81,3528.81
30270,MAPE-PAC,Political Committee,Shoreview,MN,55126,,12/30/85,,8773.68,40082.86
40988,Maplewood Voters,Political Committee,Maplewood,MN,55109,,11/13/07,,0,85
40983,Maplewood Voters Coalition,Political Committee,Maplewood,MN,55109,,4/27/07,12/31/10,0,
30342,Maslon Edelman Borman & Brand Pol Action Comm,Political Fund,Minneapolis,MN,55402,,7/7/92,,4518.07,1168.07
30190,MCCL State Pac,Political Fund,Minneapolis,MN,55409,,7/26/82,,5989.87,19346.43
80011,MCEA Political Action Committee,Political Fund,Apple Valley,MN,55124,,11/30/01,,2950.31,3106.46
40620,"McGrann,Shea,Franzen,Carnival,Straughn & Lamb",Political Committee,,,,,10/18/90,12/31/96,,
30612,Meagher & Geer PLLP Political Fund,Political Fund,Minneapolis,MN,55402-3788,,9/6/06,,6500,6783.76
40977,Medical Transportation PAC,Political Committee,Thief River Falls,MN,56701,,1/16/07,8/25/08,0,
40036,MEDPAC Minn Medical Political Action Comm,Political Committee,Minneapolis,MN,55413,,7/5/74,,14244.5,19357.81
40786,Messerli & Kramer Political Action Comm,Political Committee,St Paul,MN,55104,,6/4/98,,503.91,2185.46
40906,MetroNorth Chamber of Commerce PAC,Political Committee,Blaine,MN,55434,,4/2/03,,4394.35,453.24
41091,MGFA Political Committee,Political Committee,Eagan,MN,55122,www.mgfa.org,9/26/12 16:28,,,200
80019,MHHP - PAF,Political Fund,Minneapolis,MN,55401,,9/7/05,12/31/07,3681.72,
41077,Michele PAC Minnesota,Political Committee,Woodbury,WI,55125,,5/16/12 15:15,,,6896.19
41017,Midcontinent Communications MN PAC,Political Committee,Edina,MN,55435,,7/7/09 13:46,,,3525.29
40945,MIDLAC,Political Committee,Minneapolis,MN,55406,,10/11/05,,68,25.04
40950,Midwest Values PAC - MN,Political Committee,Minneapolis,MN,55458,,2/1/06,2/1/07,4675,
70046,MIFSC PAC (MN Insurance & Financial Services Council),Political Committee,Minneapolis,MN,55401-2515,,8/10/09,,,1306.5
40953,Milk Producers PAC,Political Committee,St Paul,MN,55101,,4/18/06,,1942.43,3864.17
30615,Millwrights Local 1348 PAC,Political Fund,Virginia,MN,55792,,11/13/06,,0,829.32
40914,Mining Industry Leadership Fund,Political Committee,Duluth,MN,55802,,1/8/04,,11031,1231
70009,Minn ACORN Political Action Committee,Political Committee,St Paul,MN,55114,,7/29/97,7/6/10,46.67,
30025,Minn AFL-CIO,Political Fund,St Paul,MN,55103,,7/24/74,,10153.22,4567.55
40201,Minn AGPAC,Political Committee,St Paul,MN,55102-1130,,8/12/80,,2739.62,2803.17
41043,Minn Ambulatory Surgery Center Assn,Political Committee,St Paul,MN,55103-2044,,8/13/10 15:39,,,1178.2
40192,Minn Architects Political Action Comm,Political Committee,Minneapolis,MN,55105,,6/27/80,,10206.93,1797.42
80026,Minn Assoc of Professional Employees Political Fund,Political Fund,Shoreview,MN,55126,,3/24/10 16:00,,,26013.66
40751,Minn Bank State PAC,Political Committee,St Paul,MN,55103,,5/28/96 10:20,,8099.93,7419.26
70004,Minn Business Partnership PAC,Political Committee,Minneapolis,MN,55402,,7/27/92,,16212.83,34428.95
30127,Minn Cable Comm Assoc - PAC,Political Fund,St Paul,MN,55104,,11/18/76,,1030.12,831.17
30553,Minn CAP-PAC,Political Fund,Champlin,MN,55316,,2/12/96 8:22,,2562.68,2902.56
70001,Minn Chamber of Commerce Leadership Fd,Political Committee,St Paul,MN,55101,,1/14/83,,3612.32,1363.33
30111,Minn Chiropractic Political Action Comm,Political Fund,Bloomington,MN,55431,,5/11/76,,1795.26,21084.64
70005,Minn CPAs Public Affairs Committee,Political Committee,Bloomington,MN,55431,,1/1/90,,42870.29,149392.45
30018,Minn Dental Political Action Committee,Political Fund,Minneapolis,MN,55408-1802,,7/7/74,,47466.19,19453.12
40839,Minn Electrical Assn PAC,Political Committee,Minneapolis,MN,55408,,8/31/00,,1032.34,2518.34
70040,Minn Electrical Industry Pol Action Comm,Political Committee,St Paul,MN,55114,,6/21/06,,91,4163.76
70054,Minn Emergency Physicians Action Committee,Political Committee,Faribault,MN,55021,,2/1/12 15:25,,,10030.17
80001,Minn Eye PAC,Political Fund,Lake Elmo,MN,55042,,10/28/85,,13257.94,7169.93
70038,Minn Farm Bureau PAC,Political Committee,St Paul,MN,55121,,12/16/05,,979.46,6811.59
40561,Minn Farm Credit Services PAC,Political Committee,St Paul,MN,55103,,8/21/89,,232.33,4010.34
40543,Minn Farmers Union PAC,Political Committee,St Paul,MN,55113-0007,,11/14/88,,7787.76,11475.72
70043,Minn Funeral Services PAC,Political Committee,Maple Grove,MN,55311,,8/30/74,,7176.2,4988.26
70053,Minn Green Industry Political Action Committee,Political Committee,New Germany,MN,55367,,6/13/11 11:01,,,3609
40714,Minn Hospital PAC,Political Committee,Minneapolis,MN,55414,,7/15/94,,19700.89,12676.46
30277,Minn Independent Insurance Agents PAC,Political Fund,Eden Prairie,MN,55344-3758,,6/23/86,,4345,1634.9
40666,Minn Manufactured Home PAC,Political Committee,W St Paul,MN,55118-3481,,12/7/77,,4701.67,2651.03
40824,Minn New Democrat Political Action Comm,Political Committee,St Paul,MN,55104,,8/25/99,7/27/09,1030.1,
70021,Minn NOW PAC,Political Committee,St Paul,MN,55103,www.mnnow.org/pac.htm,8/31/82,,1164.26,456.81
30245,Minn Nurses Assn Pol Comm (MNA-PC),Political Fund,St Paul,MN,55102,,1/1/90,,1177,545.25
